ZTFID,IAUID,host_redshift
ZTF17aabtvsy,SN2022yei,0.069222
ZTF17aabvong,SN2024xxq,0.034
ZTF17aadlxmv,SN2020adv,0.062
ZTF18aaaonon,SN2022jjs,0.071419
ZTF18aaaooqj,SN2025ack,0.050658
ZTF18aaaqexr,SN2020chl,0.0702
ZTF18aadlaxo,SN2021deo,0.052953
ZTF18aadxnul,SN2021yzs,0.064
ZTF18aadzfso,SN2020biz,0.05
ZTF18aaeqjmc,SN2023xhc,0.043
ZTF18aaermez,SN2019abh,0.022846
ZTF18aafdigb,SN2023uxa,0.063
ZTF18aagkwgz,SN2024vsi,0.0377589986
ZTF18aagtwyh,SN2021oud,0.066041
ZTF18aahfbqp,SN2020acua,0.041362
ZTF18aahtjsc,SN2019cdd,0.0529
ZTF18aahvndq,SN2020jhf,0.015371
ZTF18aailmnv,SN2018ebo,0.08
ZTF18aaisqmw,SN2020acqt,0.0527
ZTF18aaiwzie,SN2023bfv,0.086
ZTF18aaizerg,SN2019zbj,0.068396
ZTF18aajivpr,SN2020gaa,0.051518
ZTF18aajkcdn,SN2022abfd,0.068184
ZTF18aajkrxi,SN2022fus,0.08027
ZTF18aajpjdi,SN2018bfx,0.0746
ZTF18aajvqye,SN2023mqn,0.0647708
ZTF18aakitiq,SN2025ndx,0.036713
ZTF18aakiwbs,SN2020fqi,0.066
ZTF18aaklpdo,SN2018hvf,0.046
ZTF18aamvfeb,SN2022klh,0.031492
ZTF18aamzgzi,SN2018mef,0.0179
ZTF18aangpkx,SN2020jbl,0.069948
ZTF18aanhpii,SN2019tjz,0.044
ZTF18aannern,SN2021bqv,0.033296
ZTF18aansqom,SN2021hbg,0.030374
ZTF18aansqov,SN2021nro,0.070549
ZTF18aansqun,SN2018dyp,0.05964
ZTF18aanxlcr,SN2023egq,0.063
ZTF18aanygjk,SN2019haw,0.049
ZTF18aaoufjt,SN2019fyi,0.0298
ZTF18aaoxrup,SN2020hdw,0.06
ZTF18aaqcqvr,SN2018bvg,0.07
ZTF18aaqedfj,SN2018bff,0.0623
ZTF18aaqjqqc,SN2023emb,0.049154
ZTF18aaqkcso,SN2019fck,0.02
ZTF18aaqkqxi,SN2018bvx,0.0761
ZTF18aaqldvl,SN2022jze,0.063
ZTF18aaqnxjb,SN2021qai,0.05096
ZTF18aaqpeoq,SN2022joa,0.07544491
ZTF18aaqqhis,SN2018ccy,0.06
ZTF18aaqydat,SN2021pde,0.049797
ZTF18aarbaba,SN2020mnu,0.0594
ZTF18aarbgdn,SN2018bfh,0.044541
ZTF18aarcypa,SN2018bil,0.032
ZTF18aarikzk,SN2020hll,0.0563
ZTF18aarkwgc,SN2025id,0.070118
ZTF18aarlukc,SN2019ger,0.0626
ZTF18aarunfu,SN2024poo,0.059692
ZTF18aarwxum,SN2019lme,0.09
ZTF18aasdted,SN2018big,0.01815
ZTF18aasrlze,SN2025pdd,0.062
ZTF18aatezaj,SN2021hdw,0.034254
ZTF18aatgdph,SN2021cgl,0.03589
ZTF18aatjfoe,SN2021itd,0.080143
ZTF18aatmlsy,SN2022gnc,0.03
ZTF18aatrkga,SN2020rgz,0.0285
ZTF18aatrtkc,SN2024qny,0.0528
ZTF18aatwqed,SN2024gev,0.029481
ZTF18aauizcr,SN2018btb,0.03384
ZTF18aaunfqq,SN2018lpb,0.07109
ZTF18aavdwmh,SN2021dtm,0.073
ZTF18aaviawx,SN2024eif,0.074747
ZTF18aavrwhu,SN2018bxo,0.062
ZTF18aavryhc,SN2022acfw,0.055951
ZTF18aavrzxp,SN2018cdu,0.07
ZTF18aavsilo,SN2020jje,0.04592
ZTF18aavvnzu,SN2021jwq,0.0498
ZTF18aawfqax,SN2024iei,0.054
ZTF18aawglif,SN2024ifw,0.073
ZTF18aawiilg,SN2025bzk,0.05
ZTF18aawitry,SN2021abte,0.089
ZTF18aawjywv,SN2018ccj,0.04
ZTF18aawlfnj,SN2023mtc,0.01
ZTF18aawlxls,SN2022qmk,0.025
ZTF18aawmeiw,SN2022wen,0.036
ZTF18aawqjjj,SN2024eui,0.0868
ZTF18aawrotg,SN2025ikg,0.07177
ZTF18aawseij,SN2023nnl,0.0617
ZTF18aawurud,SN2018eaz,0.05
ZTF18aawxahl,SN2025bg,0.04228
ZTF18aaxcfbt,SN2018ced,0.0689
ZTF18aaxcntm,SN2018ccl,0.026792
ZTF18aaxdrjn,SN2018cdt,0.0339
ZTF18aaxeoqk,SN2019aarm,0.0396
ZTF18aaxgwpl,SN2019aaoz,0.054538
ZTF18aaxhcam,SN2024fjp,0.03143
ZTF18aaxkjmm,SN2018cng,0.0661
ZTF18aaxmhvk,SN2018cne,0.08
ZTF18aaxokeg,SN2019ejo,0.0336
ZTF18aaxqyki,SN2018cnz,0.1
ZTF18aaxvpsw,SN2018cof,0.0916
ZTF18aaxwjmp,SN2018coe,0.08
ZTF18aaybfsd,SN2020cbf,0.04013
ZTF18aaydmkh,SN2018coh,0.0845
ZTF18aayiahw,SN2018cts,0.06368
ZTF18aayidfz,SN2018cvd,0.067
ZTF18aayjvve,SN2018cny,0.04727
ZTF18aayjyub,SN2018cod,0.03
ZTF18aayyqia,SN2020lqq,0.0691
ZTF18aazabmh,SN2018crr,0.073
ZTF18aazhwnh,SN2018cua,0.0907
ZTF18aazixbw,SN2018coi,0.0594
ZTF18aazjqil,SN2025bvd,0.057
ZTF18aazjztm,SN2018crs,0.072
ZTF18aazsabq,SN2018crn,0.05
ZTF18abakunn,SN2019wkb,0.0567
ZTF18abavruc,SN2013ld,0.02741
ZTF18abaxlpi,SN2018ctm,0.0646
ZTF18abbpeqo,SN2018cvq,0.06678
ZTF18abbqjds,SN2018cvr,0.1
ZTF18abcdzyc,SN2018cty,0.056
ZTF18abcecfi,SN2018dbc,0.08
ZTF18abcflnz,SN2018cuw,0.024
ZTF18abckujg,SN2018cvt,0.074
ZTF18abckujq,SN2018cvf,0.06383
ZTF18abcrtnq,SN2018cvu,0.10151
ZTF18abcrxoj,SN2018cvw,0.0309
ZTF18abcsgvj,SN2018cxl,0.06
ZTF18abcvush,SN2018dcn,0.05
ZTF18abcysdx,SN2018deq,0.067
ZTF18abdbuty,SN2018dbd,0.075
ZTF18abdcudb,SN2019kza,0.087
ZTF18abddrhd,SN2018dym,0.09
ZTF18abdefet,SN2018dds,0.075
ZTF18abdfazk,SN2018dbe,0.087
ZTF18abdfwur,SN2018eps,0.07
ZTF18abdfydj,SN2018dzr,0.07
ZTF18abdgwxn,SN2018dcm,0.0638
ZTF18abdiwpt,SN2018ddg,0.073
ZTF18abdkimx,SN2018dyq,0.08
ZTF18abdnihj,SN2025tzm,0.095302
ZTF18abdrmin,SN2018der,0.05154
ZTF18abeecwe,SN2018dje,0.04
ZTF18abeegsl,SN2018eag,0.072
ZTF18abespgb,SN2018dyg,0.05
ZTF18abetehf,SN2018dvb,0.064875
ZTF18abetejo,SN2018dvd,0.07
ZTF18abetewu,SN2018dye,0.077
ZTF18abfbbyh,SN2022muy,0.076
ZTF18abfchzq,SN2022shv,0.074
ZTF18abfeyey,SN2021sxf,0.089
ZTF18abffdjl,SN2025aedq,0.0666
ZTF18abffdpa,SN2021ygt,0.099
ZTF18abfgygp,SN2018ead,0.07
ZTF18abfhaji,SN2018dsw,0.09
ZTF18abfhryc,SN2018dhw,0.0323
ZTF18abfwuwn,SN2018ecq,0.1
ZTF18abgkjff,SN2018dyz,0.045
ZTF18abgqkpc,SN2018dxu,0.108
ZTF18abgxkzx,SN2024utv,0.071
ZTF18abhbqbh,SN2020kwk,0.052
ZTF18abiczpm,SN2023gxy,0.093
ZTF18abifioh,SN2020dfz,0.103
ZTF18abimsyv,SN2018eni,0.085
ZTF18abixkjh,SN2018ecp,0.07
ZTF18abixrei,SN2019bfh,0.113
ZTF18abjgyyr,SN2018efe,0.05
ZTF18abjrfqx,SN2018elj,0.04
ZTF18abjstcm,SN2018ezy,0.079
ZTF18abjtgdo,SN2018epj,0.07393
ZTF18abjvhec,SN2018emv,0.0569
ZTF18abjwahi,SN2018emj,0.1
ZTF18abkhcrj,SN2018emi,0.03823
ZTF18abkhcwl,SN2018eml,0.03164
ZTF18abkifng,SN2018ers,0.088
ZTF18abktphg,SN2018esa,0.07
ZTF18abkudjo,SN2018eqg,0.09216
ZTF18ablhvfr,SN2018fcd,0.085
ZTF18ablmflp,SN2018etj,0.042
ZTF18ablongw,SN2018fae,0.08181
